tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
17047.0,1.0,9.0,0.0,0.0,1.0,61.0,654631.0,32.9201738,-117.0701638,9.318226604e-05,,,1584,0.00568181818182,0.0,0.0,0.111111111111
17051.0,2.0,16.0,1.0,0.0,1.0,39.0,551592.0,33.0047611,-117.0611001,7.07044337119e-05,330.745261384,,902,0.0177383592018,0.0625,0.0,0.0625
17051.0,3.0,18.0,0.0,0.0,2.0,48.0,1115579.0,33.0091347,-117.0704318,4.30269841939e-05,,,2296,0.00783972125436,0.0,0.0,0.111111111111
17403.0,4.0,0.0,,,,,,,,,,,1589,0.0,,,
17702.0,2.0,0.0,,,,,,,,,,,1066,0.0,,,
17813.0,1.0,0.0,,,,,,,,,,,1904,0.0,,,
19905.0,3.0,0.0,,,,,,,,,,,486,0.0,,,
20013.0,3.0,0.0,,,,,,,,,,,2387,0.0,,,
20015.0,2.0,0.0,,,,,,,,,,,1759,0.0,,,
20017.0,3.0,0.0,,,,,,,,,,,475,0.0,,,
10014.0,2.0,65.0,9.0,3.0,0.0,548.0,9352868.0,32.5787826,-117.0187686,5.85916533838e-05,158.867336847,559.047333577,16326,0.00398137939483,0.138461538462,0.0461538461538,0.0
17109.0,4.0,0.0,,,,,,,,,,,1641,0.0,,,
10800.0,2.0,0.0,,,,,,,,,,,1548,0.0,,,
11100.0,3.0,0.0,,,,,,,,,,,731,0.0,,,
15302.0,2.0,1.0,0.0,0.0,1.0,,,,,,,,1428,0.000700280112045,0.0,0.0,1.0
15704.0,2.0,0.0,,,,,,,,,,,2515,0.0,,,
16202.0,1.0,0.0,,,,,,,,,,,749,0.0,,,
18000.0,3.0,0.0,,,,,,,,,,,480,0.0,,,
19302.0,4.0,0.0,,,,,,,,,,,1549,0.0,,,
16804.0,3.0,0.0,,,,,,,,,,,1738,0.0,,,
3114.0,2.0,9.0,2.0,1.0,0.0,62.0,832583.0,32.6997221,-117.0468684,7.44670501319e-05,90.7032620203,190.318995791,2296,0.00391986062718,0.222222222222,0.111111111111,0.0
3304.0,2.0,21.0,9.0,8.0,0.0,34.0,367176.0,32.707203,-117.0885503,9.25986447916e-05,118.680252986,65.4838046683,2483,0.00845751107531,0.428571428571,0.380952380952,0.0
19103.0,3.0,0.0,,,,,,,,,,,2156,0.0,,,
19601.0,4.0,0.0,,,,,,,,,,,951,0.0,,,
20213.0,3.0,0.0,,,,,,,,,,,1254,0.0,,,
21100.0,3.0,0.0,,,,,,,,,,,3544,0.0,,,
21205.0,1.0,0.0,,,,,,,,,,,3090,0.0,,,
22100.0,1.0,0.0,,,,,,,,,,,2317,0.0,,,
18700.0,1.0,0.0,,,,,,,,,,,39017,0.0,,,
8303.0,2.0,43.0,0.0,1.0,1.0,52.0,2170029.0,32.8446149,-117.2531864,2.39628134002e-05,,303.916000569,1512,0.0284391534392,0.0,0.0232558139535,0.0232558139535
20903.0,3.0,0.0,,,,,,,,,,,2025,0.0,,,
8327.0,3.0,9.0,0.0,0.0,1.0,71.0,4107725.0,32.9703783,-117.2429643,1.72845066308e-05,,,928,0.00969827586207,0.0,0.0,0.111111111111
17808.0,2.0,0.0,,,,,,,,,,,2094,0.0,,,
16609.0,2.0,0.0,,,,,,,,,,,984,0.0,,,
12003.0,1.0,0.0,,,,,,,,,,,939,0.0,,,
17034.0,1.0,36.0,1.0,3.0,7.0,50.0,1918278.0,32.988855,-117.0923905,2.60650437528e-05,504.691353736,61.9243149035,2432,0.0148026315789,0.0277777777778,0.0833333333333,0.194444444444
17014.0,2.0,39.0,1.0,0.0,3.0,92.0,805205.0,33.0124686,-117.0630429,0.00011425661788,58.0830181576,,1255,0.0310756972112,0.025641025641,0.0,0.0769230769231
17104.0,2.0,0.0,,,,,,,,,,,2093,0.0,,,
18504.0,2.0,0.0,,,,,,,,,,,1317,0.0,,,
7501.0,2.0,4.0,0.0,0.0,0.0,16.0,100074.0,32.7479057,-117.2421991,0.000159881687551,,,744,0.00537634408602,0.0,0.0,0.0
9103.0,2.0,6.0,0.0,0.0,0.0,22.0,220316.0,32.7900629,-117.1934569,9.98565696545e-05,,,740,0.00810810810811,0.0,0.0,0.0
9704.0,3.0,19.0,1.0,10.0,3.0,70.0,1152853.0,32.8099233,-117.0588646,6.07189294732e-05,68.1428248131,76.1996124491,1472,0.0129076086957,0.0526315789474,0.526315789474,0.157894736842
2402.0,1.0,13.0,1.0,0.0,1.0,46.0,208472.0,32.7468248,-117.1027022,0.000220653133274,83.1114038619,,3182,0.00408548082967,0.0769230769231,0.0,0.0769230769231
13203.0,2.0,0.0,,,,,,,,,,,654,0.0,,,
